test_id,module,feature,expected_behavior,expected_source,route,api,worker,data_dependencies,roles,tenant_scope,plan_tier,launch_in_scope,scenarios,assertions,status,evidence,defects,blockers,notes
ENV-001,Environment,Pin audited commit,Record SHA/branch used for all local checks,spec,n/a,n/a,n/a,git,auditor,repo,n/a,yes,happy_path,SHA ccc97a6 on main,PASS,audit/test-execution.md,,,Merge PR #47 feat/schedule-apply-actions-queue
ENV-002,Environment,Deployed version matches tested commit,Production SPA index hash equals local build of the audited SHA,spec,https://meta.stratumai.app,n/a,n/a,Vite assets,auditor,host,n/a,yes,happy_path,index-*.js hashes equal,FAIL,audit/evidence/PROD-login.png; local dist index-Darafsqv.js vs prod index-DqB9HH_Q.js,DEF-025,,Vendor chunks match this commit; index chunk differs. Local Node 24 vs CI Node 20. deployed_matches_tested=false
ENV-003,Environment,Classify live host as staging vs production,"APP_ENV, SEED_DEMO, Paddle mode, and customer data stores proven",spec,https://meta.stratumai.app/health,/health,n/a,"Railway, Cloudflare, Paddle, Meta",auditor,host,n/a,yes,happy_path,environment JSON from API health,BLOCKED,SPA /health returns nginx healthy; API JSON not exposed on this host,DEF-018,API APP_ENV not readable through SPA /health; no operator confirmation,Treat as production-equivalent. Demo login buttons and SEED_DEMO docs conflict with custom domain + Facebook Login enabled
ENV-004,Environment,Local isolated stack for mutations,docker compose Postgres/Redis/API available for mutation tests,spec,localhost,n/a,n/a,"docker, .env",auditor,local,n/a,yes,happy_path,compose ps healthy,BLOCKED,,,No .env; docker compose empty; venv pytest shebang points at old Desktop path,Used backend/.venv/bin/python -m pytest instead
ENV-005,Environment,Integration tests against Postgres,"CDP, tenant isolation, actions API tests execute",code,n/a,/api/v1/*,n/a,PostgreSQL 16,auditor,local,n/a,yes,cross_tenant,57 integration tests pass,BLOCKED,pytest tests/integration: 57 errors (no DB),,Local Postgres/Redis not running,Not a product defect; unverified isolation at HTTP+DB
AUTH-001,Authentication,Login page renders,"Password form, Facebook button, legal links visible",UI copy,/login,/api/v1/auth/login,n/a,SPA,anon,n/a,all,yes,happy_path,page loads over HTTPS,PASS,audit/evidence/PROD-login.png,,,Quick Demo Access visible on production host
AUTH-002,Authentication,No demo credentials in production bundle,Production login must not embed demo emails/passwords or one-click role login,inferred — ambiguity,/login,/api/v1/auth/login,n/a,Login.tsx compiled JS,anon,n/a,all,yes,ui_authz,demo buttons absent or env-gated,FAIL,frontend/src/views/Login.tsx handleDemoLogin; PROD-login.png,DEF-001,,Did not click Super/Admin/User on the live host
AUTH-003,Authentication,Facebook Login config,Button only if GET /auth/facebook/config enabled=true,code comment,/login,/api/v1/auth/facebook/config,n/a,Meta app,anon,n/a,all,yes,happy_path,config.enabled matches button,PASS,browser fetch enabled=true; FacebookLoginButton.tsx,,,"Default FACEBOOK_LOGIN_ENABLED is false; this host has it on. Auth only, not activation"
AUTH-004,Authentication,Password recovery,Forgot/reset email flow completes with new login,spec,/forgot-password;/reset-password,/api/v1/auth/*,n/a,email provider,anon,n/a,all,yes,"happy_path,error,session_expired",mail captured; password changed,BLOCKED,,,No test mailbox,
AUTH-005,Authentication,MFA TOTP,"MFA challenge, backup codes, lockout",code,/login,/api/v1/auth/login/mfa;/api/v1/mfa,n/a,Redis mfa_session,user,tenant,all,yes,"happy_path,error",tokens withheld until TOTP,BLOCKED,backend/tests/unit/test_auth_facebook.py MFA cases PASS locally,,No MFA test account on live host,Unit coverage exists; live path unverified
AUTH-006,Authentication,Session logout and expiry,Logout clears tokens; expired session cannot mutate,spec,/dashboard,/api/v1/auth/logout,n/a,JWT,user,tenant,all,yes,"session_expired,reload",API 401 after logout,BLOCKED,,,No authenticated session,
AUTH-007,Authentication,Signup and email verify,New account persists and verifies,spec,/signup;/verify-email,/api/v1/auth/register,n/a,"users table, email",anon,n/a,all,yes,"validation_required,duplicate",user row created,BLOCKED,,,Must not create real accounts on live host,
AUTH-008,Authorization,Auth bypass regressions,Refresh != access; no X-Tenant-ID auth; entitlements not self-writable,test,n/a,/api/v1/*,n/a,"JWT, tenants","admin,superadmin",tenant,all,yes,"api_authz,cross_tenant,plan_gate",unit assertions hold,PASS,backend/tests/unit/test_auth_bypass_regression.py,,,2236 unit tests include this file
AUTH-009,Authorization,HTTP tenant isolation,User cannot read other tenant campaigns/actions/health,test,/app/:tenantId,/api/v1/campaigns,n/a,Postgres,"user,admin,superadmin",org,all,yes,"cross_tenant,ui_authz,api_authz",integration suite green,BLOCKED,tests/integration/test_tenant_isolation.py,,Postgres unavailable,Release-blocker class remains unverified at HTTP+DB
